"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563455] Report(B000001)","Entity[563455] Report(B000001[00000])","Entity[563455] Report(B000001[00100])","Entity[563455] Report(B000001[00200])", ,"Entity[563455] Report(B000001[00400])", ,"Entity[563455] Report(B000001[00600])","Entity[563455] Report(B000001[00700])","Entity[563455] Report(B000001[00800])","Entity[563455] Report(B000001[00900])","Entity[563455] Report(B000001[01000])","Entity[563455] Report(B000001[01100])", ,"Entity[563455] Report(B000001[01300])", , ,"Entity[563455] Report(B000001[01600])","Entity[563455] Report(B000001[01700])", , , ,"Entity[563455] Report(B000001[02100])","Entity[563455] Report(B000001[02200])", ,"Entity[563455] Report(B000001[02400])","Entity[563455] Report(B000001[02500])","Entity[563455] Report(B000001[02600])"
"Line(09003)","3200624","662598","908624", ,"46283", ,"487064","107169","8848","199915", ,"33648", ,"64218", , ,"47614", , , , , , , ,"6596587", ,"6596587"
"Line(09004)","718604","141379","193874", ,"10297", ,"103925","22867","8963","42656", ,"15887", ,"18743", , ,"24056", , , , , , , ,"1517389", ,"1517389"
"Line(09005)","1452198","204470","280391", ,"21399", ,"150302","33071","142820","61691", ,"30640", ,"36649", , ,"9710", , , , , , , ,"2732557", ,"2732557"
"Line(09006)","1314472","186565","255838", ,"17098", ,"170832","37588","8818","70118", ,"44093", ,"38418", , ,"23173", , , , , , , ,"2484346", ,"2484346"
"Line(09007)","4573609","454989","623929", ,"63774", ,"446223","98182","73288","183152", ,"87023", ,"99214", , ,"42033", , , , , , , ,"7669911", ,"7669911"
"Line(09008)","3015466","461065","638339", ,"43466", ,"376256","82788", ,"154434", ,"61824", ,"49817", , ,"49662", , , , , , , ,"5645257", ,"5645257"
"Line(09009)","1786119","408321","559932", ,"25437", ,"300149","66042", ,"123196", ,"42355", ,"45213", , ,"36407", , , , , , , ,"3880956", ,"3880956"
"Line(09010)","1071057","164094","268641", ,"14307", ,"144004","31685","1619","59106", ,"26423", ,"25407", , ,"24597", , , , , , , ,"2137558", ,"2137558"
"Line(09011)","2378207","438202","610553", ,"29262", ,"322115","70875", ,"132212", ,"16537", ,"49023", , ,"50097", , , , , , , ,"4734164", ,"4734164"
"Line(09012)","292234","62620","165367", ,"3510", ,"88644","19504", ,"36384", ,"6621", ,"2963", , ,"7437", , , , , , , ,"816919", ,"816919"
"Line(09013)","619281","112872","154781", ,"8303", ,"82970","18256", ,"34055", ,"11050", ,"14892", , ,"23765", , , , , , , ,"1264381", ,"1264381"
"Line(09014)","17427285","2643751","3844610", ,"250446", ,"2289931","503853","54151","939900", ,"265028", ,"361371", , ,"188119", , , , , , , ,"32836206", ,"32836206"
"Line(09015)","640839","5483","249557", ,"7354", ,"4031","887", ,"1654", ,"26498", , , , ,"23390", , , , , , , ,"1157726", ,"1157726"
"Line(09016)","425075","102134","140057", ,"6471", ,"75077","16519", ,"30815", ,"13861", ,"11230", , ,"5293", , , , , , , ,"937212", ,"937212"
"Line(09017)","821588","4608","185265", ,"11713", ,"99310","21851", ,"40762", ,"23581", ,"19093", , ,"10135", , , , , , , ,"1492656", ,"1492656"
"Line(09018)","3539032","543004","744624", ,"50749", ,"399153","87826","12585","163832", ,"86327", ,"76983", , ,"24697", , , , , , , ,"6498879", ,"6498879"
"Line(09019)","607945","119783","164259", ,"12852", ,"88050","19374", ,"36140", ,"38364", ,"31060", , ,"7494", , , , , , , ,"1268215", ,"1268215"
"Line(09020)","919039","66783","161488", ,"16274", ,"49091","10801", ,"20149", ,"28267", ,"22882", , ,"620", , , , , , , ,"1457291", ,"1457291"
"Line(09021)","199951", ,"16978", ,"4564", , , , , , ,"7543", ,"6105", , ,"718", , , , , , , ,"269431", ,"269431"
"Line(09022)","963029","66392","173699", ,"16136", ,"48803","10738", ,"20031", ,"32303", ,"26144", , ,"7037", , , , , , , ,"1549955", ,"1549955"
"Line(09023)","235331", ,"84817", ,"5236", ,"45466","10004", ,"18662", ,"6545", ,"5297", , ,"1885", , , , , , , ,"517636", ,"517636"
"Line(09024)","582565", ,"75987", ,"6800", , , , , , , , ,"26693", , , , , , , , , , ,"807618", ,"807618"
"Line(09025)","1933161","225878","397428", ,"27798", ,"213040","46875","5535","87442", ,"37397", ,"43177", , ,"32467", , , , , , , ,"3552941", ,"3552941"
"Line(09100)","18514269","790316","1085945", ,"307761", ,"582116","128083","430320","238929", ,"343208", ,"286665", , ,"921251", , , , ,"210147","473976", ,"29527708","-684123","28843585"
"Line(09500)","2064104","3031","4157", ,"14019", ,"2228","490", ,"915", ,"14935", ,"12090", , ,"2402", , , , , , , ,"2409181", ,"2409181"
"Line(10500)","6966802", ,"96734", ,"76909", ,"51854","11409", ,"21283", ,"15418", , , , ,"97981", , , , , , , ,"8616368", ,"8616368"
"Line(10600)","3657346", ,"16406", ,"40623", ,"8794","1935", ,"3610", ,"2358", , , , ,"16546", , , , , , , ,"4305134", ,"4305134"
"Line(10700)","13867327", ,"3529", ,"56953", ,"1892","416", ,"776", ,"2026", , , , ,"65218", , , , , , , ,"16062053", ,"16062053"
