"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563455] Report(B000002)","Entity[563455] Report(B000002[00000])","Entity[563455] Report(B000002[00100])","Entity[563455] Report(B000002[00200])", , , ,"Entity[563455] Report(B000002[00600])","Entity[563455] Report(B000002[00700])","Entity[563455] Report(B000002[00800])","Entity[563455] Report(B000002[00900])","Entity[563455] Report(B000002[01000])","Entity[563455] Report(B000002[01100])", ,"Entity[563455] Report(B000002[01300])", , ,"Entity[563455] Report(B000002[01600])","Entity[563455] Report(B000002[01700])", , , ,"Entity[563455] Report(B000002[02100])","Entity[563455] Report(B000002[02200])", ,"Entity[563455] Report(B000002[02400])", ,"Entity[563455] Report(B000002[02600])"
"Line(11800)","4015611","27014387","43816894", , , ,"1628610","1923008","144788","268862","1478074","814655", ,"192924", , ,"149931","191284", , , , , , ,"73855000", ,"73855000"
"Line(19101)", , , , , , , , , , ,"384003", , , , , , , , , , , , , ,"384003", ,"384003"
"Line(19200)", , , , , , ,"209195","257826", ,"36310", , , , , , , , , , , , , , ,"661768", ,"661768"
"Line(19301)", ,"6207208","8511973", , , ,"363251","447700", ,"63051", , , , , , , , , , , , , , ,"15684613", ,"15684613"
"Line(19400)", , , , , , , , , , ,"122021", , , , , , , , , , , , , ,"122021", ,"122021"
"Line(19401)","28126","687482","1535066", , , ,"91730","113054","36","15921", ,"16694", , , , , , , , , , , , ,"3084979", ,"3084979"
"Line(19402)","8","347641","476722", , , ,"19085","23521","477","3313", ,"308", , , , , , , , , , , , ,"877298", ,"877298"
"Line(19403)","30", ,"44247", , , , , , , , ,"4526", , , , , , , , , , , , ,"56644", ,"56644"
"Line(19404)", , , , , , , , , , , ,"2973", , , , , , , , , , , , ,"10223", ,"10223"
"Line(19405)","1502927", , , , , , , , , , , , , , , , , , , , , , , ,"1502927", ,"1502927"
"Line(19406)","9600", , , , , , , , , , , , , , , , , , , , , , , ,"53936", ,"53936"
"Line(19407)", , , , , , , , , , , , , , , , , , , , , , , , ,"1249", ,"1249"
"Line(20000)", , , , , , , , , , , , , , , , , , , , , ,"452529","204486", ,"725202", ,"725202"
