"Entity[572875] Report(B000001[00000])", ,"Entity[572875] Report(B000001[00200])", ,"Entity[572875] Report(B000001[00400])", ,"Entity[572875] Report(B000001[00600])","Entity[572875] Report(B000001[00700])","Entity[572875] Report(B000001[00800])","Entity[572875] Report(B000001[00900])","Entity[572875] Report(B000001[01000])","Entity[572875] Report(B000001[01100])", ,"Entity[572875] Report(B000001[01300])","Entity[572875] Report(B000001[01400])","Entity[572875] Report(B000001[01500])","Entity[572875] Report(B000001[01600])","Entity[572875] Report(B000001[01700])","Entity[572875] Report(B000001[01800])", ,"Entity[572875] Report(B000001[02000])", , ,"Entity[572875] Report(B000001[02300])","Entity[572875] Report(B000001[02400])","Entity[572875] Report(B000001[02500])","Entity[572875] Report(B000001[02600])"
"1304735", , , ,"3026", , , ,"430", , ,"8717", , , , , , , , , , , , ,"1532396", ,"1532396"
"147667377", ,"1091617", ,"418988", ,"3261904","245796","82718","3022635", ,"1094544", ,"1214084","1322789", ,"5057891","3036359","1796558", ,"15378", , ,"101691","229775255","-17209407","212565848"
"42837420", ,"996008", ,"104544", ,"558192","40937","146117","481948", ,"427109", ,"2225539","1712782", ,"1061494","367398","1031895", , , , , ,"75242974","-10871164","64371810"
"2594610", ,"31676", ,"6136", , , ,"18481", , ,"32376", ,"147737","568", , , ,"48329", , , , , ,"3579765", ,"3579765"
"1445985", , , ,"2972", , , , ,"10740", ,"7471", , ,"2893528", , , ,"33", , , , , ,"4848449","-66985","4781464"
"4144735", ,"6767", ,"4698", ,"25014","1834", ,"21597", ,"19923", , , , , , , , , , , , ,"5007461", ,"5007461"
"1202203", , , ,"895", ,"15114","1108", ,"13049", ,"6226", , , , , , , , , , , , ,"1467485", ,"1467485"
"4400325", , , ,"3579", ,"19236","1411", ,"16608", ,"7471", , , , , , , , , , , , ,"5179156", ,"5179156"
"1473222", , , ,"1038", ,"4968","364","2449","4290", ,"1245", , , , , , , , , , , , ,"1721411", ,"1721411"
"50045", , , ,"7", ,"1276","94", ,"1102", , , , ,"2790", , , , , , , , , ,"78966", ,"78966"
"20563", , , , , , , , , , , , , , , , , , , , , , , ,"23326", ,"23326"
"168267", , , ,"114", ,"1043","76", ,"900", , , , , , , , , , , , , , ,"188367", ,"188367"
"1154879", , , ,"2848", , , ,"47", , ,"11207", , , , , , , , , , , , ,"1545373", ,"1545373"
"2147483647", ,"54203154", ,"3616063", ,"20061811","1518652","3554322","16213357","21046056","12062396", ,"34018920","13774847","212113792","14439156","8987943","11821408", ,"1143041", , ,"274840","2011179116","-118786995","1892392121"
"11914099", ,"148236", ,"20924", ,"672870","13067","7255","980938", ,"82184", , , , ,"219565", , , , , , , ,"17475792", ,"17475792"
"51161210", ,"205634", ,"18560", ,"55904","4100", ,"48268", ,"61016", , , , , , , , , , , , ,"56120329", ,"56120329"
"613447768", ,"19530447", , , ,"12174278","892842", ,"10814454","240196","3658437", ,"37853","57028", ,"622364", ,"84707", , , , , ,"787213343", ,"787213343"
"69347260", ,"81431", , , ,"995486","64586", ,"972602","338189","393488", , , , , , ,"1144", , , , , ,"82036317", ,"82036317"
"4222696", , , , , , , , , , ,"14943", , , , , , , , , , , , ,"4594664", ,"4594664"
"917852", ,"4126", ,"4272", ,"24609","1805","7782","9321","3797", , ,"86785", , ,"4739","15974","20522", , , , , ,"1399449", ,"1399449"
 , , , , , ,"64553","4734", ,"55735", , , , , , , , , , , , , , ,"376747", ,"376747"
 , , , , , ,"2407042","170755", ,"2783679", , , , , , ,"510212", , , , , , , ,"19259015", ,"19259015"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report B000002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
