"----------"," Entity 565497"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[565497] Report(B000001[00000])","Entity[565497] Report(B000001[00100])","Entity[565497] Report(B000001[00200])", ,"Entity[565497] Report(B000001[00400])", , ,"Entity[565497] Report(B000001[00700])","Entity[565497] Report(B000001[00800])","Entity[565497] Report(B000001[00900])","Entity[565497] Report(B000001[01000])","Entity[565497] Report(B000001[01100])", ,"Entity[565497] Report(B000001[01300])","Entity[565497] Report(B000001[01400])","Entity[565497] Report(B000001[01500])","Entity[565497] Report(B000001[01600])","Entity[565497] Report(B000001[01700])", ,"Entity[565497] Report(B000001[01900])", ,"Entity[565497] Report(B000001[02100])", , ,"Entity[565497] Report(B000001[02400])","Entity[565497] Report(B000001[02500])","Entity[565497] Report(B000001[02600])"
"197690", , , ,"35592", , , , , , ,"429", , ,"593", ,"5548","220", , , , , , ,"466520", ,"466520"
"21736505","628800","76776", ,"1073712", , ,"1482897","73827","13719","41776","18181", ,"97013","136088","4838029","6788","3197", , , , , , ,"36706151", ,"36706151"
"360020","119101", , ,"58441", , ,"280876", ,"1042", ,"1422", ,"3981","40","272", , , , , , , , ,"1117398", ,"1117398"
"28455887","1624413","2376384", ,"3847629", , ,"3830849","96987","71683", ,"63392", ,"332639","22662","878351","35251","1540583", , , , , , ,"56092441", ,"56092441"
"6340157","1162","250655", ,"1064831", , ,"2740","37188","37", ,"13601", ,"53503","8271","28029","790", , , , , , , ,"9951289", ,"9951289"
"1837106", ,"69046", ,"179132", , , ,"982", , ,"3518", ,"13973","1915","38761","39", , , , , , , ,"2724212", ,"2724212"
"2894011", ,"74684", ,"385327", , , ,"9776", , ,"6204", ,"35031","4573","29173","56", , , , , , , ,"4366571", ,"4366571"
"2854787", ,"92049", ,"570505", , , ,"8246", , ,"5447", ,"26831","3537","138643","67", , , , , , , ,"4791752", ,"4791752"
"2286979", ,"45256", ,"271134", , , ,"1930", , ,"3236", ,"11425","1069","16015","642", , , , , , , ,"3335142", ,"3335142"
"2307699", ,"34425", ,"239098", , , ,"10985", , ,"4278", ,"24323","3354","82387","92", , , , , , , ,"3579674", ,"3579674"
"3335132", ,"32610", ,"643096", , , ,"16975", , ,"7597", ,"28821","5195","81981","109", , , , , , , ,"5378627", ,"5378627"
"1224234", ,"53045", ,"114604", , , ,"2530", , ,"2555", ,"16162","1915","53205","45", , , , , , , ,"1913892", ,"1913892"
"3046834", ,"50853", ,"579163", , , ,"7116", , ,"6050", ,"19188","4249","135840","35", , , , , , , ,"4934185", ,"4934185"
"1133989","38455","7252", ,"145110", , ,"90688","25216", , ,"3140", ,"10271","1976","19867","26", , , , , , , ,"1962637", ,"1962637"
"5407533", ,"120513", ,"682830", , , ,"21660", , ,"8514", ,"45382","8930","616968","310", , , , , , , ,"8663034", ,"8663034"
"1477645", ,"12800", ,"508013", , , , , , ,"3733", ,"8758","1727","35634","30", , , , , , , ,"2567649", ,"2567649"
"1071771", ,"60860", ,"139405", , , ,"4582", , ,"1967", ,"9554","1347","2422","297", , , , , , , ,"1630303", ,"1630303"
"944874", ,"44765", ,"320180", , , ,"948", , ,"3361", ,"4140","400","1512","4", , , , , , , ,"1614129", ,"1614129"
"5234", ,"1080", , , , , , , , ,"285", , , , , , , , , , , , ,"15649", ,"15649"
"224", , , , , , , , , , , , , , , , , , , , , , , ,"268", ,"268"
"5559747", ,"24630", ,"114906", , , , , , ,"1835", , , , ,"200", , , , , , , ,"7120391", ,"7120391"
"12357897","1197600","698038", ,"1554728", , ,"2824298", , , ,"21664", , , ,"607","1662","136135", , , , , , ,"23905401", ,"23905401"
"2233910", ,"1569", ,"423725", , , , , , ,"1403", , , , ,"226", , , , , , , ,"3326761", ,"3326761"
"5692", , , , , , , , , , ,"12", , , , , , , , , , , , ,"8804", ,"8804"
"4740", , , , , , , , , , ,"783", , , , ,"2", , , , , , , ,"7775", ,"7775"
"13787424","297771","134508", ,"3043972", , ,"702233","272153", , ,"25087", ,"217235","151863", ,"469185", , , , , , , ,"26170622", ,"26170622"
"340161","19150", , ,"56436", , ,"45161","11950","711", ,"745", ,"13973","545","383","57", , , , , , , ,"885785", ,"885785"
"374162","8731", , , , , ,"20589", , , , , , , ,"29", , , , , , , , ,"486571", ,"486571"
"371105", , , ,"64537", , , , ,"95", ,"826", , , , ,"3720", , , , , , , ,"560209", ,"560209"
"4674784","68611", , ,"715316", , ,"161804", ,"611", ,"9984", ,"100397","1211","1220", , , , , , , , ,"7002676", ,"7002676"
"3056909","8419", , ,"103855", , ,"19855", ,"73", ,"883", ,"478","19", ,"111022","86311", , , , , , ,"4229996", ,"4229996"
"1103946","31820","1533", ,"97282", , ,"75042", ,"383", ,"526", ,"916","13", ,"19531", , , , , , , ,"1639666", ,"1639666"
"2258527","3796", , ,"106449", , ,"8953", ,"89", ,"856", , , , ,"59501", , , , , , , ,"3023081", ,"3023081"
"2525874","28611", , ,"91301", , ,"67472", ,"312", ,"471", ,"1154","29", ,"65386","47730", , , , , , ,"3489683", ,"3489683"
"657557", , , ,"114256", , , , , , ,"3031", , , , , , , , , , , , ,"927666", ,"927666"
"394799", , , ,"74674", , , , ,"23", ,"979", , , , , , , , , , , , ,"563433", ,"563433"
 , , , , , , , , ,"37", , , , , , , , , , , , , , ,"37", ,"37"
"2138818","1916","3093", ,"179796", , ,"4519", , , ,"2560", ,"80","1", ,"15620", , , , , , , ,"2846962", ,"2846962"
"878267","5329", , ,"103004", , ,"12568", , , ,"1709", ,"15923","900","17096", , , , , , , , ,"1276077", ,"1276077"
"900974516","19057976","23097908", ,"72948922", , ,"37988610","3880472","650457","8931270","787396", ,"4836047","4154822","13668839","13442361","4552746", ,"693640", ,"60663721", , ,"836231340","-62646201","773585139"
"207261", , , ,"10354", , , , , , ,"294", , , , , , , , , , , , ,"265120", ,"265120"
