"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563706] Report(B000001)","Entity[563706] Report(B000001[00000])","Entity[563706] Report(B000001[00100])","Entity[563706] Report(B000001[00200])", ,"Entity[563706] Report(B000001[00400])", ,"Entity[563706] Report(B000001[00600])","Entity[563706] Report(B000001[00700])","Entity[563706] Report(B000001[00800])","Entity[563706] Report(B000001[00900])","Entity[563706] Report(B000001[01000])","Entity[563706] Report(B000001[01100])", ,"Entity[563706] Report(B000001[01300])","Entity[563706] Report(B000001[01400])","Entity[563706] Report(B000001[01500])","Entity[563706] Report(B000001[01600])","Entity[563706] Report(B000001[01700])","Entity[563706] Report(B000001[01800])", ,"Entity[563706] Report(B000001[02000])","Entity[563706] Report(B000001[02100])","Entity[563706] Report(B000001[02200])","Entity[563706] Report(B000001[02300])","Entity[563706] Report(B000001[02400])","Entity[563706] Report(B000001[02500])","Entity[563706] Report(B000001[02600])"
"Line(05800)","4486593","549116","823422", ,"721479", ,"506812","174259","69216","17434", ,"16737", ,"304", ,"54872", , ,"143708", , , , , ,"9047623", ,"9047623"
"Line(05801)","6003", , , ,"694", , , , , , , , ,"211", ,"6", , , , , , , , ,"7328", ,"7328"
"Line(06000)","54541329","322580","1491161", ,"5466815", ,"3140026","755098","10800","796701", ,"211881", ,"55749","7186","452", , , , , ,"4080572","1734286","13695","87433665","-5814858","81618807"
"Line(06001)","2008029", ,"3512", ,"85398", , , , , , ,"2513", , , ,"137", , , , , , , , ,"2257902", ,"2257902"
"Line(06003)","5601710", ,"34851", ,"382341", ,"276585","99613", ,"70176", ,"13000", , , , , , , , , , , , ,"7323593", ,"7323593"
"Line(06004)","494833", ,"10680", ,"120379", , , , , , ,"3312", , , , , , ,"60391", , , , , ,"820325", ,"820325"
"Line(06200)","25205076", ,"4486", , , ,"54534", , ,"13837", , , , , , , , ,"7008", , ,"304879","129577", ,"28370120","-434456","27935664"
"Line(06500)","17122765","138784","218848", ,"3116478", ,"298242","44043","20039","75671", ,"114931", ,"37980","20942","282", , ,"7764", , , , , ,"23873129", ,"23873129"
"Line(06501)","2119882", ,"133784", ,"425419", ,"383349", ,"3381","97265", ,"14720", ,"38323", ,"4792", , ,"2214", , ,"1150591","489013", ,"5171049","-1639604","3531445"
"Line(06502)","742183","14461","33814", ,"146269", ,"12742","4589","7723","3233", ,"5768", , , , , , ,"703", , , , , ,"1077458", ,"1077458"
"Line(06600)","6028525","44370","14553", , , ,"486721","14080", ,"123493", , , , , , , , , , , ,"1252217","532205", ,"10480491","-1784422","8696069"
"Line(06700)","2485476","14165","30", , , ,"12481","4495", ,"3167", , , , ,"4022", , , , , , ,"1462507","621581", ,"4832500","-2084088","2748412"
"Line(06900)","1461272","81435","2698", ,"264960", ,"165821","25843", ,"42073", ,"12212", ,"8532", , , , , , , ,"437552","185964", ,"3070459","-623516","2446943"
"Line(06901)","3006137","660163","890109", ,"1406023", ,"640060","209500","47843","162399", ,"41821", ,"214404","837147","8118", , ,"69744", , ,"2289384","973012", ,"14887158","-3262396","11624762"
"Line(06902)","1368448","180933","114021", ,"277104", ,"159428","57418","44366","40451", ,"10308", ,"10044", ,"13205", , ,"202483", , , , , ,"2954782", ,"2954782"
