"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[572851] Report(B000001)","Entity[572851] Report(B000001[00000])","Entity[572851] Report(B000001[00100])","Entity[572851] Report(B000001[00200])", ,"Entity[572851] Report(B000001[00400])","Entity[572851] Report(B000001[00500])", ,"Entity[572851] Report(B000001[00700])","Entity[572851] Report(B000001[00800])","Entity[572851] Report(B000001[00900])","Entity[572851] Report(B000001[01000])","Entity[572851] Report(B000001[01100])", ,"Entity[572851] Report(B000001[01300])","Entity[572851] Report(B000001[01400])","Entity[572851] Report(B000001[01500])","Entity[572851] Report(B000001[01600])","Entity[572851] Report(B000001[01700])","Entity[572851] Report(B000001[01800])", ,"Entity[572851] Report(B000001[02000])","Entity[572851] Report(B000001[02100])","Entity[572851] Report(B000001[02200])","Entity[572851] Report(B000001[02300])","Entity[572851] Report(B000001[02400])","Entity[572851] Report(B000001[02500])","Entity[572851] Report(B000001[02600])"
"Line(09017)","2102541", ,"32084", ,"472296","494622", , , ,"20167", ,"45613", ,"125651","3039", ,"3473", , , , , , , ,"3299486", ,"3299486"
"Line(09020)","937274","69849","6234", ,"318240","252649", ,"86462", , , ,"23656", ,"55097","253", ,"8649", , , , , , , ,"1758363", ,"1758363"
"Line(09021)","1340063","95677","101793", ,"1532818","582550", ,"118433", ,"22716", ,"49431", ,"12275","8665","229","58730", , , , , , , ,"3923380", ,"3923380"
"Line(09022)","1724476", ,"44442", ,"204064","374342", , , , , ,"16861", ,"85808","8210", ,"34177", , , , , , , ,"2492380", ,"2492380"
"Line(09023)","132079", ,"4662", ,"17748","29312", , , , , ,"1732", , ,"479", ,"2856", , , , , , , ,"188868", ,"188868"
"Line(09024)","526654", ,"2746", ,"32642","106638", , , , , ,"3313", ,"12725","1208", ,"6143", , , , , , , ,"692069", ,"692069"
"Line(09025)","841041", ,"5120", ,"141561","187404", , , , , ,"14540", ,"40284","8", ,"1020", , , , , , , ,"1230978", ,"1230978"
"Line(09100)","14373348","738788","396663", ,"5193975","3928020", ,"914502","626384","1837824","576188","316716", ,"911786","156380","10822","591727","879542","11188", ,"42230","2671221","4370526", ,"38547830","-7041747","31506083"
"Line(09101)","1623483","141489","14220", ,"1988134","714790", ,"175141", , , ,"90040", ,"169524","3615","104","28923", , , , , , , ,"4949463", ,"4949463"
"Line(09102)","3664816","228345","108918", ,"820065","914925", ,"282655","128047", , ,"73566", ,"294164","38031", ,"105351","288858","10392", , , , , ,"6958133", ,"6958133"
"Line(09103)","776307","59567","22415", ,"169439","194995", ,"73735", ,"49532", ,"15448", ,"60976","3845", ,"31200", , , ,"14968", , , ,"1472505", ,"1472505"
"Line(09201)","3191885","265117","207644", ,"801407","847362", ,"328172","66625","28478","40030","78948", ,"370367","14792", ,"52247","230369", , , , , , ,"6523443", ,"6523443"
"Line(09202)","1413611","58492","1999", ,"376348","351093", ,"72404", , , ,"39827", ,"126565","1205", ,"26700", , , , , , , ,"2468244", ,"2468244"
"Line(09500)","23348224","54799","6850535", ,"2642411","6241484", ,"67832", ,"28810", ,"226012", ,"106239","23955","26657","198725", , , , , , , ,"39815683", ,"39815683"
"Line(10500)","6766406", ,"23551", ,"1012244","1480343", , , ,"43216", ,"100005", ,"141660","23357","65831","18882", , , , , , , ,"9675495", ,"9675495"
