"----------"," Entity 553807"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000001[00000])","Entity[553807] Report(B000001[00100])","Entity[553807] Report(B000001[00200])", ,"Entity[553807] Report(B000001[00400])", ,"Entity[553807] Report(B000001[00600])","Entity[553807] Report(B000001[00700])","Entity[553807] Report(B000001[00800])","Entity[553807] Report(B000001[00900])", ,"Entity[553807] Report(B000001[01100])", , , , ,"Entity[553807] Report(B000001[01600])","Entity[553807] Report(B000001[01700])", , , ,"Entity[553807] Report(B000001[02100])", ,"Entity[553807] Report(B000001[02300])","Entity[553807] Report(B000001[02400])","Entity[553807] Report(B000001[02500])","Entity[553807] Report(B000001[02600])"
"1000589","142861","6765", ,"317648", ,"58163","114979", , , ,"7475", , , , ,"96704", , , , , , , ,"1948891", ,"1948891"
"20233356","781483","416373", ,"5371509", ,"318166","628964","102622","2276388", ,"115013", , , , ,"1088207","913611", , , ,"3160904", ,"82722","46086041","-5086909","40999132"
"3133004","197186","29715", ,"1476767", ,"80281","158702", ,"211671", ,"26011", , , , ,"135152", , , , ,"56953", , ,"6182815","-91656","6091159"
"7727", , , , , , , , , , , , , , , , , , , , , , , ,"8414", ,"8414"
"86923","43804", , ,"26366", ,"17834","35255","3369", , ,"523", , , , , , , , , , , , ,"242221", ,"242221"
"3154606","23240","19219", ,"520978", ,"9462","18705", , , ,"8221", , , , , ,"10544", , , , , ,"24169","4197857", ,"4197857"
"1078650","81010","14294", ,"198105", ,"32982","65200", , , ,"3538", , , , , , , , , , , , ,"1602214", ,"1602214"
"2835832","100302","9591", ,"305784", ,"40836","80727", , , ,"5685", , , , , , , , , , , , ,"3743541", ,"3743541"
"211890", , , ,"29265", , , , , , ,"552", , , , , , , , , , , , ,"263156", ,"263156"
"1098331953","27806755","37774727", ,"160159767", ,"10697748","21059802","636960","18138663", ,"2882687", , , , ,"5825518","6202381", , , ,"56953233", ,"828637","1097759360","-91656019","1006103341"
"516059","54908","2125", ,"42668", ,"22355","44192", , , ,"1863", , , , , , , , , , , , ,"738936", ,"738936"
"333586","3736","57937", ,"103031", ,"1521","3007", ,"133242", ,"1014", , , , , , , , , , , ,"1910","683302", ,"683302"
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 553807"," Report B000002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
