"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000002)","Entity[553807] Report(B000002[00000])","Entity[553807] Report(B000002[00100])","Entity[553807] Report(B000002[00200])", ,"Entity[553807] Report(B000002[00400])", ,"Entity[553807] Report(B000002[00600])","Entity[553807] Report(B000002[00700])","Entity[553807] Report(B000002[00800])","Entity[553807] Report(B000002[00900])", ,"Entity[553807] Report(B000002[01100])", , , , ,"Entity[553807] Report(B000002[01600])","Entity[553807] Report(B000002[01700])", , , ,"Entity[553807] Report(B000002[02100])", ,"Entity[553807] Report(B000002[02300])","Entity[553807] Report(B000002[02400])", ,"Entity[553807] Report(B000002[02600])"
"Line(09100)","11954","781483","416373", ,"1338", ,"13514","14085","6561","63810", ,"23645", , , , ,"173188","41347", , , , , , ,"2373309", ,"2373309"
"Line(09101)","18066","197186","29715", ,"368", ,"3410","3554", ,"5933", ,"5348", , , , ,"21509", , , , , , , ,"381900", ,"381900"
"Line(09102)","336", , , , , , , , , , , , , , , , , , , , , , , ,"459", ,"459"
"Line(09202)", ,"43804", , ,"7", ,"757","790","215", , ,"108", , , , , , , , , , , , ,"49296", ,"49296"
"Line(10500)","170556","23240","19219", ,"130", ,"402","419", , , ,"1690", , , , , ,"477", , , , , , ,"279276", ,"279276"
"Line(10600)","26179","81010","14294", ,"49", ,"1401","1460", , , ,"727", , , , , , , , , , , , ,"147223", ,"147223"
"Line(10700)","41313","100302","9591", ,"76", ,"1734","1808", , , ,"1169", , , , , , , , , , , , ,"216287", ,"216287"
"Line(11200)", , , , ,"7", , , , , , ,"113", , , , , , , , , , , , ,"3948", ,"3948"
"Line(11800)","22914823","27806755","37774727", ,"40035", ,"454368","471616","40726","508452", ,"592648", , , , ,"927130","280700", , , , , , ,"86710270", ,"86710270"
"Line(19000)", ,"54908","2125", ,"11", ,"949","990", , , ,"383", , , , , , , , , , , , ,"69140", ,"69140"
"Line(19402)", ,"3736","57937", ,"26", ,"65","67", ,"3735", ,"209", , , , , , , , , , , , ,"73684", ,"73684"
"Line(20000)", , , , , , , , , , , , , , , , , , , , , ,"1165472", ,"58340","1761917", ,"1761917"
